7:10 AM - 19 Nov 2015|Shout out to my laptop for being the absolute worst
10:26 AM - 19 Feb 2014|I want to vacation somewhere so long that I come back with an accent
10:10 AM - 19 Feb 2014|Me ice skating last weekend pic.twitter.com/DwGWoxeuU1
1:47 PM - 17 Feb 2014|Having the time of my life at the Newhouse Integrity Seminar with @karsennpalmtree!!! #funfunfun
1:40 PM - 17 Feb 2014|Excited for the @SUPRSSA meeting tonight and finding out more about @cusecon!
6:45 AM - 14 Feb 2014|Love really does exist @LES_not_LIE pic.twitter.com/DAiPaSp549
6:39 AM - 14 Feb 2014|What does a brotha need to do to get his only of the day cancelled. I don't want to put on pants.
7:32 AM - 13 Feb 2014|Grown men who order hot chocolate... #DoMore
7:21 AM - 13 Feb 2014|Cannot express how much I am looking forwards to sleeping tonight.
6:20 PM - 12 Feb 2014|Nothing feels better than beating your hometown on a buzzbeater! #GoCuse!
2:02 PM - 11 Feb 2014|Another sunny day in Syracuse pic.twitter.com/XgFWFzZwAP
4:51 PM - 10 Feb 2014|Cool! RT @mariaingaglio: @BCBSM uses cause related campaigns to connect consumers with brands in a surprising and relevant way. #BlueAtSU
4:42 PM - 10 Feb 2014|The #BCBSM campaigns are so smart. Benefits the brand and works towards charitable causes! #BlueAtSU
4:33 PM - 10 Feb 2014|Find stories that connect to sponsors programs and tell those stories. - @andrewhetzel #BlueAtSU #PR
10:07 AM - 10 Feb 2014|All I want to do is eat pasta and watch @girlsHBO #lazymonday
1:40 PM - 9 Feb 2014|Diet of the Week: Coffee and everything bagels. NOTHING ELSE.
1:23 PM - 7 Feb 2014|The live-stream / replay feature of #NYFW is essentially God's greatest gift
10:22 AM - 6 Feb 2014|Does anyone know where I can get an IV of coffee? #Exhausted
9:06 AM - 5 Feb 2014|All of my professors are really into italics this semester
9:01 AM - 5 Feb 2014|.@kelley_simon is rocking the high-pony today #WinterFashion
12:52 PM - 4 Feb 2014|praying for a snow day tomorrow #notgoingtohappen #agirlcandream
9:51 AM - 4 Feb 2014|@IAmAidanMeyer We're here 4 u Aidan!
9:50 AM - 4 Feb 2014|.@CafeKubal getting me through the day #hey
4:47 PM - 3 Feb 2014|Welcome to the dark side, @mariaingaglio #professional
12:53 PM - 3 Feb 2014|Really liking the new layout on the twitter website.
7:34 PM - 2 Feb 2014|#EsuranceSave30 - such a good idea!!! INCREDIBLE.
7:30 AM - 2 Feb 2014|Six more weeks of winter! #GroundhogDay
