4:35 PM - 29 Nov 2015|Happy birthday to my two favorite travel buddies @RachelRoams and Jennifer from @LATravelMag 
7:01 AM - 21 Apr 2015|This is how I feel about a 5am call time  #tvhost #setlife @theqyou @itsjslaw pic.twitter.com/aIssI2PUGt
11:10 AM - 20 Apr 2015|Happy Patriots Day! #teamamerica pic.twitter.com/79TaQOUP8c
3:10 PM - 19 Apr 2015|In my next life I hope I come back as this pug, and they will call me Princess Lullaby pic.twitter.com/RvEVRLq7wV
2:47 PM - 19 Apr 2015|Okay I did it---  RT @handsomeherb: @AndreaFeczko Donut. pic.twitter.com/xq7XW8usyy
5:12 PM - 18 Apr 2015|This is what I do in between takes #SelfieSaturday pic.twitter.com/q8zN7u4LHG
10:43 AM - 18 Apr 2015|I have a riddle: what place is hot, cold, has history and shopping? #travel #help
3:46 PM - 17 Apr 2015|FINALLY! Thank you!  RT @HammaerX: now you have pic.twitter.com/t8tAijx6tx
3:40 PM - 17 Apr 2015|True story: I've never gotten a dick pic before. I NEED YOU, OPRAH! pic.twitter.com/SkS1Srf2GH
11:05 AM - 16 Apr 2015|I got this one.. #inspiration pic.twitter.com/0CAjFia7up
11:01 AM - 15 Apr 2015|Hump day... pic.twitter.com/TTxtVEGVKO
10:45 AM - 15 Apr 2015|They say the bedroom is where the magic happens-- I say it's the makeup chair #tvhost pic.twitter.com/jSUhrwcwjR
9:42 PM - 14 Apr 2015|Still at work-- hello! pic.twitter.com/eRXcaILI4y
1:34 PM - 14 Apr 2015|WOW! So honored! RT @musicnews_facts: @BarelyPolitical parody of Kesha's Tik Tok is the most watched parody video OF ALL TIME on YouTube
2:40 PM - 13 Apr 2015|This does not look like it's going to end well..  #travel #adventure pic.twitter.com/OZ1De93vFK
10:40 AM - 12 Apr 2015|I got this Namaste sh*t down! #peaceful #rip pic.twitter.com/e9YqrIbVTg
7:52 AM - 12 Apr 2015|I had a dream last night that a glass of rose was $80 -- yes, it was a nightmare
8:27 PM - 10 Apr 2015|This is what I'm wearing for Friday night-- what are YOU doing? pic.twitter.com/IOKH30YKEV
2:40 PM - 10 Apr 2015|Some people stalk hot girls on Insta, I stalk ugly bitches... pic.twitter.com/tdTe0oLaWk
8:22 AM - 10 Apr 2015|On the way to our first shoot day for our super secret @how2travelers tv show #SHHHH pic.twitter.com/IdQb6F41VY
11:40 AM - 9 Apr 2015|Hot dogs or hot legs? pic.twitter.com/TueiHzmJPx
4:15 PM - 8 Apr 2015|Don't know what I want more, the beach or her abs #summerbody #beach #gorgeous pic.twitter.com/KNCrq77wNx
3:59 PM - 8 Apr 2015|In a pre-production meeting, but first let me take a selfie  pic.twitter.com/SiCcyAnoKz
3:10 PM - 7 Apr 2015|My spirit animal..  #jenniferlawrence pic.twitter.com/ChOlSjNJQh
2:24 PM - 7 Apr 2015|You want to have meetings w @how2travelers -- we bring cupcakes :) pic.twitter.com/yRXM0Ez2iR
7:57 PM - 6 Apr 2015|I really want a peanut butter and jelly sandwich. That is all.
9:00 AM - 6 Apr 2015|Coffee or tea?
1:45 PM - 5 Apr 2015|Chocolate bunny or Peeps?
11:25 AM - 5 Apr 2015|Happy #Easter! I am going to church as the Virgin Mary, how are you celebrating? pic.twitter.com/qt0OEFL2dM
6:24 PM - 4 Apr 2015|I feel very American  pic.twitter.com/Yz8OTx0SId
1:33 PM - 3 Apr 2015|Towels. Pens. Bibles.RT @handsomeherb: @how2travelers Watching this has me wondering what besides toiletries Andrea borrows from the hotel
9:53 AM - 3 Apr 2015|Way to go eBay--- 2 day delivery on these puppies!  pic.twitter.com/eyGbicKiGH
3:37 PM - 2 Apr 2015|My goal this month is to find time to be bored on the weekend #busybee
8:53 PM - 1 Apr 2015|Finally finished this bad boy! So happy to get to the good characters now... #GameOfThrones pic.twitter.com/kLcn3m9uIY
