10:06 AM - 30 Nov 2015|I believe the leading causes of alcoholism are holiday dinners with the relatives 
2:54 PM - 6 Dec 2014|It's your LASTnight to catch hilarious #CrackersComedy headliner @SidDavid and feature @ChadThornsberry 7 45 10pm http bit ly 1H9DQ43 
12:15 PM - 6 Dec 2014|Thanks to @RobersonJimmy @chadthornsberry @Siddavis for a great evening of laughs @CrackersComedy Great way to unwind 2 shows 2nite 8 10 
11:52 AM - 6 Dec 2014|Tonight TWO shows with #CrackersComedy comedians @SidDavis and @ChadThornsberry #BOOYA #downtown http bit ly 1H9DQ43 
7:54 AM - 6 Dec 2014|TWO shows tonight with @SidDavis @ChadThornsberry @RobersonJimmy at #CrackersComedy DT http bit ly 1H9DQ43 
6:05 AM - 6 Dec 2014|Its amazing how Im tired every morning except the times I could actually sleep in It's like my body thinks Im a farmer on Saturday mornings 
12:12 AM - 6 Dec 2014|Indy Saturday Nite Only 8 10 pm @CrackersComedy - Three great comics @RobersonJimmy @chadthornsberry @Siddavis pic twitter com tmFAXdnZP5 
2:10 PM - 5 Dec 2014|I'm to the age where I can still find 20 yr olds hot Until they speak 
7:56 PM - 4 Dec 2014|Had a great time at @CrackersComedy tonight with my brothas of the DTD watching @Siddavis @chadthornsberry do their thing Hilarious 
5:06 PM - 4 Dec 2014|Just heard two guys debating who was hotter Velma or Daphne Those geeks realize they can do that with real live women right 
7:18 PM - 1 Dec 2014|The best nicknames are usually the ones people don t know they have 
10:30 AM - 4 Dec 2014|I haven't watched TV in a while When did Sam Malone become a scientist 
8:56 AM - 4 Dec 2014|Just because you're going to start drinking on Thursday doesn't mean the weekend is starting early No It means you might be a drunk 
11:32 AM - 3 Dec 2014|May I suggest we be EXACTLY AS RACIST as Mexico is to THEIR Southern Neighbors #DeFundAmnesty #ReFundTheFence pic twitter com ZmCO0j7XIR 
6:23 AM - 4 Dec 2014|This six words shit is annoying #sixwords 
9:34 PM - 3 Dec 2014|If you don't have anything nice to say come sit closer to me and let's talk about everyone 
6:21 AM - 4 Dec 2014|I feel bad for homeless people in Hawaii They have no dreams left At least the homeless in Chicago can dream about being homeless in Hawaii 
6:10 AM - 4 Dec 2014|Hey Indy I'm working @CrackersComedy downtown this week with the very funny @Siddavis Come check out the show 
6:36 PM - 30 Nov 2014|I buy the kind of Christmas lights that work when you plug them in while you're in the house but short out when you climb up on the roof 
10:23 AM - 28 Nov 2014|@chadthornsberry I'm doing a cross-stitch of your bio that's how much I it 
6:10 AM - 28 Nov 2014|Today is why don't I take more time when I put these Christmas lights away so I don't spend hours untangling knots for hours day 
6:05 AM - 28 Nov 2014|Only 391 shopping days left until Christmas 2015 Some of you idiots better get started 
8:12 AM - 26 Nov 2014|No I don't want my family invading my house What I can have more food than I can eat and there will be football Fine Happy thanksgiving 
6:46 AM - 22 Nov 2014|#ImSoWhiteThat The rhythm did NOT get me So there Miss Estefan 
6:53 AM - 22 Nov 2014|Misspelling in diet recipe book They spelled yogurt Y-O-G-U-R-T When they meant to spell O-R-E-O-C-O-O-K-I-E-S 
6:47 AM - 22 Nov 2014|Women's number one trait the look for is humor They must find mark wahlberg and Channing Tatum HILARIOUS when they don't have shirts on 
6:29 AM - 22 Nov 2014|You know it's hot in your bedroom when the bottom side of your pillow isn't any cooler 
6:29 AM - 22 Nov 2014|Not to start trouble with the JFK assassination and I hate to be the first but I think I have a conspiracy theory 
9:27 AM - 29 May 2014|I ordered a chicken and an egg from Amazon I ll let you know 
8:28 AM - 17 Nov 2014|I guess a lot of teenage kids like their noses because they put a ring on it 
2:08 PM - 16 Nov 2014|How can you remember me being late picking you up on our 4th date 8 years ago but ask me every week how any points a touchdown is worth 
8:01 AM - 14 Oct 2014|I have a bumper sticker that says Honk if you think I'm sexy Then I just wait at green lights until I feel better about myself 
2:01 PM - 16 Nov 2014|I mute all the tweets I can't understand Which includes people that tweet in Spanish or people that are happy to be vegetarians 
12:22 PM - 16 Nov 2014|Hey @RealSkipBayless and @stephenasmith are you finally ready to admit that Cam Newton is overrated 
6:51 AM - 16 Nov 2014|I sub taught the other day for a 7th 8th grade Art class Generally I'm opposed to school shootings 
6:42 AM - 16 Nov 2014|It's Sunday Time for @nfl #NFL pregame shows Or as I call it Let's talk about the @Patriots and @dallascowboys for 3 hours 
5:45 PM - 15 Nov 2014|Packed show @valley park funny bone Going to be a fun show pic twitter com JyEXfexVWN 
1:48 PM - 15 Nov 2014|Hey guys anybody want to see my myspace page Talk to me tonight in Yahoo Chat and I'll tell you all about it Maybe even exchange pager #'s 
1:43 PM - 15 Nov 2014|I'm writing a new blackjack strategy book Odds that a dealer shows 16 and draws a 5 When I'm playing apparently it's about 70 pct 
9:16 AM - 15 Nov 2014|I'll be glad when New Year's Eve gets here Because then when I'm blasting Kool and the Gangs Celebration people just think I'm festive 
6:31 PM - 17 Mar 2013|Don't judge Eminem until you've walked 8 Mile's in his shoes 
8:03 PM - 14 Nov 2014|A marriage argument NEVER ends with we'll just agree to disagree We just agree that I'm wrong and we disagree if we are being honest 
10:28 AM - 14 Nov 2014|Make sure you tweet your thoughts on God and the President That's why everybody is on twitter to learn about politics and religion 
8:03 PM - 13 Nov 2014|Mike Tyson is attempting a comeback His first fight will be against Soda Popinski 
4:32 AM - 13 Nov 2014|Saw a bank of pay phones at a walmart in San Antonio My buddy asked me where I was working and I said I think in 1982 
3:57 AM - 13 Nov 2014|Headlining this week @vp_fb valley park funny bone Come out to see the shows 
3:49 AM - 13 Nov 2014|How come every pic a 14-22 year old girl takes she has to make a face like she has had a stroke 
3:47 AM - 13 Nov 2014|My dad deer hunters and farmers are incorrect 5 am sucks 
6:55 PM - 12 Nov 2014|I was playing RISK but then switched to Monopoly It was a real game changer 
5:26 PM - 12 Nov 2014|Instead of tweeting that you don't care about anything wouldn't it be easier not to tweet at all 
5:25 PM - 12 Nov 2014|I don't have a body shaped like Adonis I have a body that is more like McDonis 
6:48 AM - 12 Nov 2014|I'm trying to have a wife with benefits 
8:57 PM - 10 Nov 2014|I like how workers at Toys R Us think I'm shopping for a child Stupid employees 
3:47 PM - 8 Nov 2014|It saddens me that future generations will not know to say It rubs the lotion on its skin when applying skin creams to their bodies 
6:30 AM - 10 Nov 2014|I HATE INDIANS Corey Kluber terry Francona Carlos Santana All of them What did you think I was talking about 
5:39 AM - 9 Nov 2014|Hey 21 yr old girl with the great body you dont look sexy in a form fitting short skirt and thin top in 20 degree weather you look stupid 
4:56 PM - 8 Nov 2014|I don't follow politics closely but I think Loretta Lynch is a good choice for attorney general A long way for a Coal Miners Daughter 
8:29 AM - 7 Nov 2014|I'm subbing today for 2nd grade or as I call it shoe tying and pencil sharpening for 7 hours 
9:58 AM - 5 Nov 2014|I don't want a banker that will bend over backwards for me Id rather have one with a business background that can handle my finances 
7:05 AM - 5 Nov 2014|From what I can tell there is a thin line between looking tan and looking orange 
6:28 AM - 5 Nov 2014|Hey @EliBowers @Ebowers2 did I just get a twitter follower by the name of Coach T Yes I did 
5:59 AM - 5 Nov 2014|I guess I have to be the one that tells sir mix a lot that side bends and sit-ups can have a weight loss effect on other parts of the body 
5:55 AM - 5 Nov 2014|Explain how smart your dog is But wait until he's not running into traffic and not sleeping beside his doghouse in the rain Yep brilliant 
1:40 AM - 5 Nov 2014|For my wife's birthday I gave her presents and cooked dinner But if I don't write on her facebook page it won't be real right 
6:50 AM - 5 Aug 2013|So Nickelback is playing a flood relief concert for Alberta Like those folks haven't suffered enough 
5:53 PM - 4 Nov 2014|I once won a fight when it was 5 against 1 Of course it was easier since I had 4 buddies helping me beat up the one guy 
11:06 AM - 29 Sep 2014|It's been 16 years I hope those guys finally found out who got the hooch 
7:52 AM - 17 Oct 2014|My wife Will you get my billfold out of my purse Me Billfold Do you want me to get some Werther's Original out of there too 
8:12 PM - 1 Nov 2014|Was told that I could get 50 shades of grey on kindle I'd rather use it for kindling 
7:25 AM - 1 Nov 2014|I'm eating pancakes and bacon while I'm listening to Ja Rule Which are 3 things I shouldn't be doing at my age 
7:09 PM - 31 Oct 2014|Hey 20 yr old girls bitching about the kid pictures on Twitter for Halloween theres plenty of time for your whore pics the other 364 days 
9:45 AM - 31 Oct 2014|Watched Cam Newton do the Superman thing last night as he was 6-17 for 77 yards down 7 with a losing record Does he know who Superman is 
6:48 PM - 30 Oct 2014|Quit bragging you're a vegetarian If you eat nothing but Doritos ding dongs and fried mozzarella you're still not healthy 
9:37 AM - 30 Oct 2014|I like buying candy around Halloween It's still just for me but now cashiers think it's for kids and don't judge me 
9:12 AM - 30 Oct 2014|Why is dying doing what you love viewed as a good thing I dont want to die watching baseball and eating steak I want to die weed eating 
9:07 AM - 30 Oct 2014|LeBron is back with the Cavs I hadn't heard that @espn really should have devoted some time covering that 
10:50 AM - 29 Oct 2014|Starting the week off tonight @LoLSanAntonio Come see the show at a great venue Working w comedian magician ventriloquist Andy Gross 
9:15 AM - 29 Oct 2014|#TakeTheCrown been waiting for 7pm tonight since the 3rd inning last night 
7:02 PM - 28 Oct 2014|I want to be in a civil war re-enactment Only I want to be the guy selling guns and food to both sides 
6:55 PM - 28 Oct 2014|Angry sex When my wife and I fight we don't even have angry conversation 
8:27 AM - 27 Oct 2014|If I owned a Segway I would literally spend all my time driving between people and then apologize for segueing into their conversation 
8:03 PM - 27 Oct 2014|#YesWeDid hysterically sell a complete hoax man made global warming as mankind s most critical survival issue pic twitter com BKoErfMclu 
8:30 PM - 27 Oct 2014|Women if every tweet you put on twitter is about sex your boobs or how 'lonely' you are quit calling guys perverts when flirt with you 
4:03 PM - 27 Oct 2014|Was watching a documentary on Scientology but turned it off to watch Family guy because I needed to watch something more realistic 
7:12 AM - 27 Oct 2014|I have always been obsessed with cells platelets water and hemoglobin So I was my dad I guess it's just in my blood 
6:41 PM - 26 Oct 2014|#WorldSeriesGame5 if joe buck cheers any harder for the giants they are going to have to get him a uniform and put him on the roster 
6:24 PM - 26 Oct 2014|I'm not saying we should start burning books but if we could start with the twilight series I'd have to think about it 
3:13 PM - 22 Oct 2014|Plot twist She really is just fine and you have an overactive imagination 
12:52 PM - 25 Oct 2014|They say everybody has the opportunity to impact your life once For most people that is one time too many 
12:20 PM - 25 Oct 2014|This Is going to be the 19th year in a row with below average temperatures Or as liberals call it burning up in a fiery ball of flame 
10:12 AM - 25 Oct 2014|I like people that won't even make up a good excuse why they're drinking It's Sunday eve isn't s recognized holiday 
2:14 PM - 24 Oct 2014|#MakeAMoviePG orange juice pulp fiction 
2:13 PM - 24 Oct 2014|#MakeAMoviePG Debbie takes a youth group to Dallas 
11:10 AM - 24 Oct 2014|Thank you for finally saying it No way the Giants or ANY bullpen is on par with Kansas City's pen #manbitedog 
5:44 AM - 24 Oct 2014|The best thing about Friday is not seeing everybody's I hate Monday tweets 
6:51 PM - 23 Oct 2014|The free breakfast at Holiday Inn Express was really good today Especially since I was staying at Motel 6 next door 
9:21 AM - 23 Oct 2014|Houston we have a problem Houston new phone who dis 
6:04 PM - 22 Oct 2014|If Michele Obama continues her campaign to make vegetables relatable to black people I might have to artichoke a bitch 
3:31 PM - 23 Oct 2014|Was told I couldn't use a happy meal coupon without the child present I asked any kid or does it have to be the kid I stole this from 
7:00 AM - 23 Oct 2014|The #Royals have tied up the series to 1-1 as we head to the Bay for Game 3 #WorldSeries #AlwaysOctober pic twitter com c84LgVC90n 
9:27 AM - 23 Oct 2014|Hey Poster with a cat holding on a tree limb with one paw doesnt inspire me to Hang in there it makes me want to test my rock throwing aim 
9:24 AM - 23 Oct 2014|Understand that if you tell me to just be yourself and don't worry what people think that I myself hate people giving me cliche advice 
6:37 AM - 22 Oct 2014|Autopsy suggests Michael Brown reached for Ferguson police officer's gun report http nbcnews to 1vMK6cF pic twitter com tEYVlNBkSn 
5:31 PM - 21 Oct 2014|Just gave a homeless man a quarter and now I can't afford a shopping cart 
4:03 PM - 22 Oct 2014|Someone told me to look in their mirror before I judge them I told them their mirror was dirty and they hung it crooked 
12:55 PM - 17 Oct 2014|I was the first person to install trampolines in musician's tour buses now everybody's jumping on the bandwagon 
3:00 PM - 22 Oct 2014|Thu-Sat this week @LoonyBinLR with @TimKiddComedy check out the shows 
4:41 AM - 21 Oct 2014|Do guys who wear fanny packs know that pockets are an option 
4:51 AM - 21 Oct 2014|Corrected a guy when he misused the word anxious when what he meant was eager Now I'm anxious that he is eager to punch me in the face 
4:47 AM - 21 Oct 2014|Juice Newton was playing with the queen of hearts Which explains why she's a horrible poker player 
3:36 PM - 19 Oct 2014|I took the road less traveled and now I'm late for work 
4:42 AM - 21 Oct 2014|I have no sympathy for the woman I read about who collapsed in her shower due to dehydration 
3:40 PM - 6 Jul 2014|The 1670s called Not sure how 
4:35 AM - 21 Oct 2014|Guys maybe the reason youre always tweeting how you cant find a woman Is because youre always on twitter tweeting how you cant find a woman 
4:22 AM - 21 Oct 2014|My boys in blue are gonna win tonight GO ROYALS 
4:28 AM - 21 Oct 2014|I wish during @McDonalds monopoly game they had spaces for hot food boulevard and clean bathroom avenue 
1:32 PM - 19 Oct 2014|It doesn't matter if they Ice cream sandwich you're eating is low cal if you're on your 7th one 
11:00 AM - 19 Oct 2014|Hey everybody tweeting about how many marathons you will or can run You know what you should run Run these tweets past someone who cares 
6:00 PM - 14 Oct 2014|Told my dad I wanted to be just like him He said get a real job then Never mind dad I'll be my own man 
6:43 PM - 13 Oct 2014|My wife is gone for the night so to make it feel like she's here Im watching Shooter with mark wahlberg but only scenes he has his shirt off 
10:51 AM - 13 Oct 2014|If you are constantly drunk tweeting then maybe twitter isn't your biggest problem 
4:44 PM - 19 Feb 2014|Of course autocorrect Of course I meant Minuet the dance as opposed to Minute a word used in daily life 
8:49 AM - 12 Oct 2014|Maybe you aren't misunderstood Maybe your poetry just sucks 
3:23 PM - 10 Oct 2014|All the prostitutes are probably out looking for housewife costumes for their Halloween parties 
8:42 AM - 12 Oct 2014|I can't name anything composed by Wolfgang Amadeus Mozart I do however know all the words to Falco's Rock Me Amadeus 
7:50 PM - 11 Oct 2014|I've never been closer to punching a female than I was a few mins ago when a 22ish woman said her favorite Cypress Hill song was Jump Around 
11:00 AM - 11 Oct 2014|Telling your wife that she's hot when she is mad is a guaranteed way that she'll continue to be hot and mad 
8:20 AM - 11 Oct 2014|Walmart has more Pokemon magic the gathering cards available than baseball football cards That's the problem with Walmart kids and America 
7:31 AM - 11 Oct 2014|I think Cliffhanger is the all time best movie about villains using a mountain rescue team to track down stolen money that fell from a plane 
7:15 AM - 11 Oct 2014|Paid for a Hungry Man dinner in change Want to know how comfortable I am in life I admitted to paying for a hungry Man dinner in change 
4:28 PM - 10 Oct 2014|When I wake up early I always think I can lay there for a few minutes more You'd think a lifetime of oversleeping would teach me a lesson 
4:24 PM - 10 Oct 2014|I'm going to mail people I know a letter just so they think I'm in prison 
4:03 PM - 10 Oct 2014|I'm not sure how I got so many people that follow me that tweet in Spanish Apparently they like bad jokes tweeted in Broken English 
6:58 PM - 9 Oct 2014|I'm such a horrible stalker I can't even follow women on twitter 
10:46 AM - 9 Oct 2014|I wish parents would stop giving their kids numbers in their tweets instead of their names 41 thinks that is really stupid 
11:32 PM - 2 Sep 2014|hurls Scrabble board at you uses your words against you 
4:59 AM - 9 Oct 2014|I think if you constantly abbreviate the word husband to hubs guys should abbreviate wife to bitch that abbreviates for no reason 
8:23 PM - 4 Oct 2014|Just because you're pregnant doesn't mean you don't have to wear shirts that fit 
6:28 PM - 4 Oct 2014|I like to leave early so I can drive slow enough to infuriate people behind me that are running late 
11:54 AM - 2 Oct 2014|If I say I'm working on it then trust me I haven't even started on it yet 
3:32 PM - 4 Oct 2014|I'm amazed at people that can tweet and spell every word wrong and sometimes never use a verb It's like an illiterate code message 
2:39 PM - 4 Oct 2014|I was going to start forging checks like Leonardo Dicaprio in Catch Me If a You Can but I don't even know where to buy model planes 
7:18 PM - 16 Jul 2014|I try to use proper grammar and punctuation in all of my tweets until I'm about to go over the 140 character limit den u no how it b 
2:24 PM - 4 Oct 2014|I never think there is a chance my wife and I will get divorced Until we start playing board games 
6:14 AM - 3 Oct 2014|Odds of pulling Boardwalk in @McDonalds annual Monopoly game 1 in 602 million However the odds of getting fatter are about 100 pct 
4:51 AM - 3 Oct 2014|Bill Clinton it's pronounced ISIS It doesn't matter what your definition of IS IS 
8:34 PM - 2 Oct 2014|Losing weight using secrets of celebrities Liposuction is not a secret 
5:58 PM - 2 Oct 2014|If the goal of keno was to pick 20 numbers that DONT get called i would kick ass 
8:59 AM - 2 Oct 2014|At the motel Front Desk And here's your key card sir Me I'd like a wakeup call FD You're 20 lbs overweight and your fly's open 
11:25 PM - 30 Sep 2014|THE winning moment #TakeTheCrown #BestPhotoEver pic twitter com zwhdrTkUxn 
11:20 PM - 30 Sep 2014|You always believed and for that we are forever grateful #TakeTheCrown pic twitter com 2HVoYejGNi 
3:55 PM - 30 Sep 2014|No matter how the playoffs turn out I Want to thank @Royals for a fun year of baseball Go Blue 
2:23 PM - 30 Sep 2014|Monopoly and mcdonalds 2 things I don't enjoy separately but love together #McDMonopoly 
8:53 AM - 30 Sep 2014|My sleep number is generally around 10 30 pm 
7:30 AM - 29 Sep 2014|So anyway 144 more days til pitchers and catchers report 
7:56 AM - 30 Sep 2014|Billy Joel just died of a heart attack-Ak-ak-ak-ak not really but I just want to be the first to make this joke if it happens 
7:54 AM - 30 Sep 2014|No you don't look fatter in your pictures than in real life You're just that fat 
6:05 AM - 30 Sep 2014|Yesterday I was in Chiefs Red Today I'm in Royals Blue @KCeverything great to be from kc 
8:41 AM - 28 Sep 2014|My favorite @nightranger song is Sister Christian Until around the holidays when people call it Sister X-ian 
5:08 PM - 9 Sep 2014|If your website links to a MySpace page I assume you're probably still prepping for Y2K 
3:58 PM - 15 Sep 2014|Yesterday I was at the spot that marks the center of the United States I bet Kanye would be surprised to learn it's not his house 
2:55 PM - 17 Jun 2014|People who get enraged about a tweet must be an absolute joy in real life 
4:27 PM - 24 Sep 2014|One of the few things more boring than regular season hockey is pre-season hockey 
4:23 PM - 24 Sep 2014|It would horrible to be a homeless and have agoraphobia 
6:29 AM - 24 Sep 2014|I think that the best James Bond actor is obviously George Lazenby With Timothy Dalton a distant 2nd 
2:07 PM - 23 Sep 2014|I'm a realist I don't believe the scale is broken I just eat bad food and I'm fat Wow that is my last tweet as a realist That's rough 
7:50 AM - 20 Sep 2014|Alone in a hotel room 10 hours from home Law and Order marathon to the rescue once again 
9:04 PM - 19 Sep 2014|To the guy after the show that said youre the best comic Ive ever seen Thanks It would have meant more if you hadn't called me Chris 
8:13 PM - 19 Sep 2014|Another good show @stardome with @aprilmacie and even @KILLERBEAZ stopped in to do a spot Great crowd 2 shows tomorrow 
9:50 AM - 19 Sep 2014|If women get dressed up wear make up and fix their hair perfectly for men then why are they never wearing sweat pants on girls night out 
9:43 AM - 19 Sep 2014|Quit telling people to follow you so we can keep up with your adventures If we wanted adventures we wouldn't be on twitter to begin with 
9:06 PM - 18 Sep 2014|Very good show tonight with @aprilmacie at @stardome Shows on fri sat sun Come and check them out 
2:10 PM - 18 Sep 2014|According to Wendy's today is national cheeseburger day Isn't that everyday 
10:36 AM - 18 Sep 2014|Come out Birmingham Starting the weekend tonight @stardome with the hilarious @aprilmacie Come out and see the show 
7:21 AM - 18 Sep 2014|If you tell me you're a small town girl don't get mad when I say living in a lonely world Quit setting me up to make an obvious reference 
8:38 PM - 17 Sep 2014|Dog bakery I'd have more respect for someone actually baking a dog than someone that shops at a dog bakery 
8:14 PM - 17 Sep 2014|Good show tonight @stardome with @ComedianKDubb Good crowd as usual Thanks for coming out Birmingham 
3:14 PM - 17 Sep 2014|Hey Birmingham come see me and k-dubb tonight @stardome Show is at 730 Come out for a great time 
2:56 PM - 17 Sep 2014|Before the board game I had never been in pursuit of trivia 
9:12 AM - 17 Sep 2014|@chadthornsberry you were awesome 
6:50 AM - 17 Sep 2014|The #NFL made @RGIII turn his shirt inside out so you didnt read the word Jesus Good thing there aren't any bigger issues going on 
6:45 AM - 17 Sep 2014|You don't have a problem with insomnia if you stay up until 3 am and sleep until 11 
9:14 PM - 16 Sep 2014|Fun show tonight @stardome with @rajskub very good show and she signed autographs for my nieces Thanks again Mary Lynn 
11:20 AM - 16 Sep 2014|Dear con air we want to thank you for having the worst dialogue read in the worst possible way Sincerely Road House 
2:24 AM - 16 Sep 2014|Thrilled to be working this week at one of my favorite clubs the Stardome in Birmingham with @aprilmacie Come check out the shows 
8:08 AM - 15 Sep 2014|With my record of betting on sports it's good that I couldnt bet on something important like WWII If so all tweets would be in German 
8:30 AM - 14 Sep 2014|I'm behind on my tv watching Anybody want to talk about the last episode of Seinfeld 
6:54 PM - 7 May 2012|In a perfect world the phrase axe body spray would only be used to refer to blood splatter patterns 
8:22 AM - 14 Sep 2014|If youre tweeting about running late stop tweeting until you get there Youll be on time and can talk about your hangover 10 minutes later 
2:24 PM - 13 Sep 2014|Substitute teaching in high school when you get a new class every 50 minutes is like a speed dating reminder of why I don't want more kids 
2:18 PM - 13 Sep 2014|Was watching a ghost hunters show Or as I call it let's look at empty hallways with night vision 
2:09 PM - 13 Sep 2014|If you consistently spell out the words et cetera then we will have to stop being friends 
8:58 AM - 13 Sep 2014|I'm ready to hit 1000 followers Until people unfollow me then I'll be ready to hit 1000 again 
8:39 AM - 13 Sep 2014|You can tell who your real friends are because they never invite you to play can't crush saga whatever the hell that is 
8:35 AM - 13 Sep 2014|Had somebody tell me he didn't do twitter bc he didn't want to be confined to 140 characters I asked him if he knew he got more than 1 
6:50 AM - 8 Sep 2014|I'm just gonna pull on weird animal parts until something comes out that I can drink -guy who discovered milk 
7:53 PM - 12 Sep 2014|I think that to punish Adrian Peterson he should be forced to ride an elevator with Ray Rice 
7:35 AM - 12 Sep 2014|The guy I'm dating is from China that's already a red flag 
1:08 PM - 12 Sep 2014|I think I'm going to replace all the mirrors in my home with a really great picture of myself 
9:40 AM - 12 Sep 2014|I finally decided I'm going to exercise more Of course I decided this as I was eating chicken strips and fries 
9:21 AM - 12 Sep 2014|Black guys wear any hat if it matches an outfit which is cool while white guys wear any hat bc they wont comb their hair which is just sad 
8:35 AM - 12 Sep 2014|If you didn't know that the new country song Home Sweet Home was a @MotleyCrue remake then we can't be friends And that version sucks 
12:31 PM - 11 Sep 2014|Had somebody ask me if my truck had one of those cameras that help you back up I said yes but I call it a rear view mirror 
9:38 AM - 11 Sep 2014|Yes I get it Hot Topic teenager You're much more mysterious and misunderstood than the kids that are in Hollister two stores over 
6:27 PM - 10 Sep 2014|Anytime I hear American girl I look for guys loading furniture in vans 
6:25 PM - 10 Sep 2014|Anybody know how to sync my iTunes on my Commodore 64 
1:46 PM - 10 Sep 2014|I dont like to see pictures of a close up of a woman's eye Of course it is better than the close up picture of the body part that guys post 
1:41 PM - 10 Sep 2014|Women Quit posting pictures of your cleavage busting out shirt and then complain about how superficial men are by commenting on it 
12:44 PM - 10 Sep 2014|I have been sleeping better since I have started using the rain sound machine But now I fall asleep every time I turn on the shower 
12:41 PM - 10 Sep 2014|Narrow thinking people don't want to hear anything from foreigners Meanwhile I still like Jukebox Hero 
11:05 AM - 10 Sep 2014|Can you imagine a place where a fake fireplace looks more out of place than the @McDonalds lobby I'm sitting in 
7:34 PM - 8 Dec 2013|When I jog I usually take my car 
9:19 PM - 9 Sep 2014|Nevada without us you wouldn't have Vegas #NewStateMottos 
9:18 PM - 9 Sep 2014|If the first thing you list on a police report is that your VCR was stolen I'm pretty sure they aren't going to look to hard for your stuff 
8:59 PM - 9 Sep 2014|Arizona or as we call it North Mexico #NewStateMottos 
8:57 PM - 9 Sep 2014|Arkansas at least we ain't Mississippi #NewStateMottos 
8:50 PM - 9 Sep 2014|New Hampshire It's ok we forget we're a state too @midnight #NewStateMottos 
5:35 PM - 9 Sep 2014|At @BWWings eating wings watching a ballgame and playing trivia Life has been worse 
3:46 PM - 9 Sep 2014|Quit telling me I eat unhealthy I know that I also know if Kum n go sold @kfc gravy in 20 oz bottles I'd buy it and drink it 
6:24 PM - 15 Feb 2014|Guys wait for the perfect girl Playboy's fault Girls wait for the perfect guy Disney's fault 
11:04 AM - 9 Sep 2014|I think that the reason that most guys don't like figure skating is that there isn't a jersey they can wear 
11:01 AM - 9 Sep 2014|Why are most of the people that post about Skinny dipping not skinny 
11:37 AM - 15 May 2013|Things i use duct tape for by percentage Pranks 35 Car repair 35 Wrapping presents 20 Medical emergencies 10 Ducts 0 
9:02 AM - 9 Sep 2014|#JanayRice is living the game of what would you do for a lot of money Would you take a punch be publicly humiliated and defend him Sure 
8:59 AM - 9 Sep 2014|Hey guy on the street that tried to scare me I lived in a house with 4 females 2 of which were teenagers You're way out of your league 
6:43 AM - 9 Sep 2014|I was going to learn to play the harmonica but I'm not a prisoner in the 1940's Or a member of Blues Traveler 
9:20 PM - 8 Sep 2014|New Orleans saints with chuck We Can't Play D #NFLRappers @midnight 
9:15 PM - 8 Sep 2014|Kanye west coast offense #NFLRappers @midnight 
9:00 PM - 8 Sep 2014|Shug Monday night #NFLRappers @midnight 
8:58 PM - 8 Sep 2014|Afroman to man coverage #NFLRappers @midnight 
8:56 PM - 8 Sep 2014|2 first down chainz #NFLRappers @midnight 
8:41 PM - 8 Sep 2014|Andy Reid and rob Ryan AKA the fat boys #NFLRappers @midnight 
5:58 PM - 8 Sep 2014|Two big trends on twitter are #RoyalBaby and #RayRice I can't decide which one I'm more sick of hearing about 
1:02 PM - 8 Sep 2014|Did anybody actually look away during the Ray Rice video 
12:39 PM - 8 Sep 2014|Somewhere there's a morning zoo shock jock unknowingly writing the final Ray Rice defense rant of his career 
9:56 AM - 8 Sep 2014|One of the worst things about working the road is for weeks I miss home One of the best things is that for weeks miss work around my home 
7:08 AM - 8 Sep 2014|I wonder of his family let Abraham Zapruder film any of their family reunions 
7:07 AM - 8 Sep 2014|Two cousins in New Jersey are applying for a marriage license They say they have a lot in common Yeah like uncles 
7:13 PM - 7 Sep 2014|Good week at @leveefunnybone with @rayprice and @RodManComedy Thanks everybody that came out See you next time cincy Kentucky whatever 
2:38 PM - 7 Sep 2014|Apparently a back injury makes you colorblind because tony romo keeps throwing the ball to San Francisco #Cowboys #NFL @FunnyCostaki 
2:35 PM - 7 Sep 2014|Anybody that mows grass at 2 pm on the opening week of football season should have their citizenship revoked 
12:14 PM - 7 Sep 2014|Last show tonight with @RodManComedy and @rayprice at @leveefunnybone Come out for a great Sunday night show 
7:53 AM - 7 Sep 2014|Hey does anybody know when week one of the NFL is I haven't heard anything about it 
9:51 PM - 6 Sep 2014|@chadthornsberry nice set tonight Good stuff From a Frisco league alum too Couldn't believe you are from Crocker I'm from Licking 
8:49 PM - 6 Sep 2014|Two more really good shows @leveefunnybone with @rayprice and @RodManComedy One show left tomorrow night Last chance 
7:28 AM - 6 Sep 2014|If Edgar Allen Poe didn't have a cat named Poepurry then I question him as a writer 
6:25 PM - 6 Sep 2014|@chadthornsberry great set tonight hope to see you again at newport 
12:05 PM - 6 Sep 2014|Robin Williams stars as a 50's English Teacher that gets fired for insubordination #ExplainAFilmPlotBadly 
12:04 PM - 6 Sep 2014|Homeless thief from Nottingham joins a group of transients in the forest #ExplainAFilmPlotBadly 
10:46 PM - 5 Sep 2014|Guy plants corn around a baseball field to try and avoid bankruptcy #ExplainAFilmPlotBadly 
10:42 PM - 5 Sep 2014|Guy from die hard talks to a kid that has no friends and talks to make believe people #ExplainAFilmPlotBadly 
9:22 PM - 5 Sep 2014|2 really fun shows @leveefunnybone with @RodManComedy and @rayprice Great crowds 2 more shows tomorrow at 730 10 Come out 
7:40 PM - 5 Sep 2014|Watched @RodManComedy and @chadthornsberry destroy Newport Funny Bone tonight With @nolanspapa pic twitter com jWbCKxLmKp 
