7:27 AM - 11 Nov 2015|Daredevils are those who ride their bikes on colony streets on a Diwali night 
12:02 PM - 25 Oct 2012|Remember suicide is never the answer unless someone asks Hey what is that called when you kill urself Then yes it is the answer 
11:59 AM - 25 Oct 2012|Escape After so many days Nostalgia 
11:32 AM - 25 Oct 2012|People who type f ck instead of fuck it's clear the problem lies in u 
11:15 AM - 25 Oct 2012|By now Facebook shud be intelligent enough to automatically 'Unfollow post' once u have commented Congratulations on someone's status pic 
9:32 AM - 25 Oct 2012|And I thought brat was a reduction for brathahashree D 
8:49 AM - 25 Oct 2012|Bengalis are born with a post graduate degree in everything 
5:31 AM - 25 Oct 2012|Must-drink-alcohol 
5:24 AM - 25 Oct 2012|What the hell 
2:35 PM - 20 Oct 2012|Lots of pretty girls have been watched 
8:54 AM - 20 Oct 2012|In the flesh #nowplaying 
6:57 AM - 20 Oct 2012|Pujo porikroma will happen in a few hours 
6:33 AM - 20 Oct 2012|Porn superhero Inyourpantsman 
6:14 AM - 20 Oct 2012|Bombay girls might be more well dressed but Calcutta girls are definitely prettier 
6:08 AM - 20 Oct 2012|3 hours at Chinatown and the #hotboudicount increases even if I put the glass down and close my eyes 
5:51 AM - 20 Oct 2012|Lunch at Aminia Pujo has begun 
5:05 AM - 20 Oct 2012|@SoSexyErin A dress makes no sense unless it inspires men to take it off of you 
7:28 PM - 19 Oct 2012|And pujo begins 
11:41 AM - 19 Oct 2012|In the morning there's a huge difference between 6 00 and 6 05 
10:28 AM - 19 Oct 2012|People will change Were you the same as you were 5 years ago 
10:26 AM - 19 Oct 2012|Let the festivities begin 
10:18 AM - 19 Oct 2012|Ban emotions 
10:14 AM - 19 Oct 2012|#nowplaying with your boobies 
2:00 PM - 18 Oct 2012|Just sleep 
7:35 PM - 17 Oct 2012|Ladies just because he came doesnt mean you made him come -Chris Rock 
11:15 AM - 17 Oct 2012|Superhit porno The Penis Rises 
10:08 AM - 17 Oct 2012|Overnight success takes years 
11:50 PM - 15 Oct 2012|What's worse than nerds People who pretend to be nerds 
9:17 PM - 14 Oct 2012|New jeans today Yes Pujo has started indeed 
12:19 PM - 13 Oct 2012|damn you mysql 
3:45 AM - 11 Oct 2012|Somebody has emailed me the mysore pak recipe I swear that email was smelling of ghee 
1:00 PM - 10 Oct 2012|Yes I'm rude Happily 
12:37 PM - 10 Oct 2012|Where are the drunk girls 
12:35 PM - 10 Oct 2012|A misfit among misfits 
11:07 PM - 9 Oct 2012|How I Met Your Mother What have you become 
1:01 PM - 8 Oct 2012|Moonwalking into jail because you're a smooth criminal 
7:35 AM - 8 Oct 2012|Money does not buy you happiness But it buys you food 
6:43 AM - 8 Oct 2012|Anatomy of a kiss in Calcutta by @mtanmay Kiss is for Park Street Chumbon at Nandan Chumu at Nalbon Santragachhi onwards its Hami 
12:07 PM - 7 Oct 2012|The reason I'm single Not forwarding those chain messages when I was 12 
9:34 AM - 7 Oct 2012|Billboards were invented solely for the purpose of fantasizing about seeing our own photographs on them while we're stuck at red lights 
7:38 AM - 6 Oct 2012|What's common between Robert Vadra and an electron Both can handle all negativity #okiamgoing 
7:33 AM - 6 Oct 2012|Anjan Dutta Thank you Sir 
7:05 AM - 6 Oct 2012|Wanted A crazy girl to talk about crazy things 
1:25 PM - 5 Oct 2012|BRA Blue to Red- Acidic #chemistry 
1:22 PM - 5 Oct 2012|TV show called Pujor Shera Prem Wondering what the judging criteria is 
1:15 PM - 5 Oct 2012|God said Let there be Pink Floyd 
1:02 PM - 5 Oct 2012|If you burn burn like a cigarette giving someone pleasure 
6:40 AM - 4 Oct 2012|Promises are like children Fun making them Regret keeping them 
6:33 AM - 4 Oct 2012|Remember Don when God closes a door he opens a dress 
6:23 AM - 4 Oct 2012|Victory has a thousand fathers defeat has an orphan - JFK 
11:51 AM - 2 Oct 2012|Seems like being normal is a crime these days 
9:23 AM - 27 Sep 2012|Ban people 
9:13 AM - 27 Sep 2012|Any fool can write code that a computer can understand Good programmers write code that humans can understand 
6:22 AM - 26 Sep 2012|Yes we are fat Live with it 
